;이것은 Emuera의 변수 사이즈 지정용 파일입니다.
;이 파일을 csv 폴더 안에 두는 것으로 배열 변수의 요소의 수를 바꿀 수가 있습니다.
;VariableSize.CSV에서 사이즈를 지정하지 않는 변수는 표준값이 적용됩니다.

;ABLNAME등의 csv로부터 읽는 변수의 사이즈도 변경 할 수 있도록 되었습니다.
;ABL와 ABLNAME 등 대응 관계에 있는 변수에서도 동기는 하지 않았습니다의 것으로 각각을 변경할 필요가 있습니다.
;단 ITEMNAME-ITEMPRICE만은 다른 한쪽을 변경하면한편도 변경됩니다.

;RAND、CHARANUM등의 그때마다 계산되는 값에 대해서는 요소수를 변경할 수 없습니다.
;NO、NAME와 같은 배열이 아닌 변수도 사이즈를지정할 수 없습니다.

;변수의 사이즈를 변경해도 세이브 데이터는 그대로 사용할 수 있습니다만、세이브되고 있는 사이즈보다 변경 후의 사이즈가 작은 경우、초과한 데이터는 없어집니다.
;또、세이브되고 있는 사이즈가 eramaker의 표준의 배열 사이즈보다 큰 경우、eramaker로 데이터를 로드하면정상적으로 동작하지 않습니다.


;ITEMNAME와 ITEMPRICE는 다른 한쪽을 변경하면한편도 같은 값으로 변경됩니다
ITEMNAME,1000
;ITEMPRICE,1000
ABLNAME,200
TALENTNAME,2000
EXPNAME,200
MARKNAME,100
PALAMNAME,200
TRAINNAME,1000
BASENAME,100
SOURCENAME,100
EXNAME,100
EQUIPNAME,100
TEQUIPNAME,200
FLAGNAME,20000
CFLAGNAME,10000
TFLAGNAME,1000
STR,20000

DAY,1000
MONEY,1000
ITEM,1000
FLAG,20000
TFLAG,1000
UP,1000
CUP,200
CDOWN,200
PALAMLV,1000
EXPLV,1000
EJAC,1000
DOWN,1000
RESULT,1000
COUNT,1000
TARGET,1000
ASSI,1000
MASTER,1000
NOITEM,1000
LOSEBASE,1000
SELECTCOM,1000
ASSIPLAY,1000
PREVCOM,1000

TIME,1000
ITEMSALES,1000
PLAYER,1000
NEXTCOM,1000
PBAND,1000
BOUGHT,1000

A,100
B,100
C,100
D,100
E,100
F,100
G,100
H,100
I,100
J,100
K,100
L,100
M,100
N,100
O,100
P,100
Q,100
R,100
S,100
T,100
U,100
V,100
W,100
X,100
Y,100
Z,100

SAVESTR,100
RESULTS,100

BASE,100
MAXBASE,100
ABL,200
TALENT,2000
EXP,200
MARK,100
PALAM,200
SOURCE,100
EX,100
CFLAG,10000
JUEL,200
RELATION,200
EQUIP,100
TEQUIP,200
STAIN,100
GOTJUEL,200
NOWEX,100

TSTR,1000
CSTR,100

TCVAR,1000

LOCAL,1000
LOCALS,100
ARG,1000
ARGS,100
GLOBAL,1000
GLOBALS,100

;변경 불가. 난수 시스템이 사용하기 위해.
;RANDDATA,625

;이차원 배열
DITEMTYPE,1000,100
DA,100,100
DB,100,100
DC,100,100
DD,100,100
DE,100,100
